date,avg_power_w,peak_power_w,idle_power_w,energy_kwh,energy_kwh_psys,duration_h,samples,est_cost_gbp
2026-08-04,21.915,72.534,7.489,0.331057,0.331057,15.25,4950,0.1126
2026-08-05,21.497,68.497,7.326,0.327115,0.327115,15.25,4950,0.1112
2026-08-06,21.940,71.376,7.467,0.332029,0.332029,15.25,4950,0.1129
2026-08-07,21.723,70.324,7.358,0.327829,0.327829,15.25,4950,0.1115
2026-08-08,18.123,30.180,14.087,0.429380,0.429380,24.00,4500,0.1460
2026-08-09,18.130,30.219,13.218,0.422190,0.422190,24.00,4500,0.1435
2026-08-10,22.058,74.586,7.556,0.340985,0.340985,15.25,4950,0.1159
2026-08-11,22.026,75.359,7.498,0.332713,0.332713,15.25,4950,0.1131
2026-08-12,22.153,74.231,7.621,0.333355,0.333355,15.25,4950,0.1133
2026-08-13,22.308,72.061,7.494,0.335281,0.335281,15.25,4950,0.1140
2026-08-14,21.766,75.010,7.255,0.327833,0.327833,15.25,4950,0.1115
2026-08-15,18.077,30.832,13.871,0.424134,0.424134,24.00,4500,0.1442
2026-08-16,18.094,30.850,13.706,0.443424,0.443424,24.00,4500,0.1508
2026-08-17,21.832,71.932,7.419,0.327009,0.327009,15.25,4950,0.1112
2026-08-18,22.209,74.040,7.557,0.335074,0.335074,15.25,4950,0.1139
2026-08-19,21.714,71.243,7.268,0.327752,0.327752,15.25,4950,0.1114
2026-08-20,21.847,71.748,7.296,0.346842,0.346842,15.25,4950,0.1179
2026-08-21,21.449,66.120,7.571,0.337938,0.337938,15.25,4950,0.1149
2026-08-22,18.125,29.651,14.210,0.426505,0.426505,24.00,4500,0.1450
2026-08-23,18.134,30.021,14.164,0.421409,0.421409,24.00,4500,0.1433
2026-08-24,21.511,70.557,7.380,0.324816,0.324816,15.25,4950,0.1104
2026-08-25,22.054,73.390,7.522,0.331996,0.331996,15.25,4950,0.1129
2026-08-26,21.543,69.259,7.426,0.326256,0.326256,15.25,4950,0.1109
2026-08-27,21.793,72.105,7.469,0.329630,0.329630,15.25,4950,0.1121
2026-08-28,21.639,69.556,7.471,0.325628,0.325628,15.25,4950,0.1107
2026-08-29,18.098,30.318,14.336,0.424589,0.424589,24.00,4500,0.1444
2026-08-30,18.073,30.027,14.119,0.423189,0.423189,24.00,4500,0.1439
2026-08-31,21.802,72.808,7.155,0.325477,0.325477,15.25,4950,0.1107
2026-09-01,21.883,72.331,7.573,0.328586,0.328586,15.25,4950,0.1117
2026-09-02,21.897,75.920,7.311,0.329904,0.329904,15.25,4950,0.1122
