date,avg_power_w,peak_power_w,idle_power_w,energy_kwh,energy_kwh_psys,duration_h,samples,est_cost_gbp
2026-08-04,175.950,372.373,113.844,4.222463,4.222463,24.00,8640,1.4356
2026-08-05,174.543,366.403,113.833,4.188697,4.188697,24.00,8640,1.4242
2026-08-06,177.561,373.248,114.952,4.261130,4.261130,24.00,8640,1.4488
2026-08-07,174.525,377.739,113.583,4.188260,4.188260,24.00,8640,1.4240
2026-08-08,159.703,369.723,113.701,3.832518,3.832518,24.00,8640,1.3031
2026-08-09,160.767,373.327,114.376,3.858065,3.858065,24.00,8640,1.3117
2026-08-10,175.900,369.863,113.821,4.221264,4.221264,24.00,8640,1.4352
2026-08-11,175.979,370.078,114.873,4.223153,4.223153,24.00,8640,1.4359
2026-08-12,177.587,372.525,114.182,4.261747,4.261747,24.00,8640,1.4490
2026-08-13,177.332,368.016,113.846,4.255633,4.255633,24.00,8640,1.4469
2026-08-14,176.883,373.699,113.288,4.244852,4.244852,24.00,8640,1.4432
2026-08-15,159.281,370.310,113.591,3.822406,3.822406,24.00,8640,1.2996
2026-08-16,159.445,370.276,114.278,3.826326,3.826326,24.00,8640,1.3010
2026-08-17,175.358,374.551,114.474,4.208198,4.208198,24.00,8640,1.4308
2026-08-18,175.510,374.779,112.955,4.211895,4.211895,24.00,8640,1.4320
2026-08-19,177.734,370.799,113.987,4.265281,4.265281,24.00,8640,1.4502
2026-08-20,176.992,373.012,113.435,4.247457,4.247457,24.00,8640,1.4441
2026-08-21,175.780,372.505,113.635,4.218376,4.218376,24.00,8640,1.4342
2026-08-22,160.197,373.288,113.875,3.844406,3.844406,24.00,8640,1.3071
2026-08-23,159.621,371.428,114.010,3.830576,3.830576,24.00,8640,1.3024
2026-08-24,175.456,376.815,114.608,4.210598,4.210598,24.00,8640,1.4316
2026-08-25,176.259,372.034,112.751,4.229889,4.229889,24.00,8640,1.4382
2026-08-26,178.015,369.321,114.444,4.272013,4.272013,24.00,8640,1.4525
2026-08-27,176.860,373.243,113.779,4.244251,4.244251,24.00,8640,1.4430
2026-08-28,175.977,366.617,113.400,4.223109,4.223109,24.00,8640,1.4359
2026-08-29,160.160,369.331,114.363,3.843496,3.843496,24.00,8640,1.3068
2026-08-30,160.124,367.214,113.601,3.842625,3.842625,24.00,8640,1.3065
2026-08-31,173.752,370.444,113.770,4.169693,4.169693,24.00,8640,1.4177
2026-09-01,176.138,371.765,113.503,4.226975,4.226975,24.00,8640,1.4372
2026-09-02,176.721,373.445,113.756,4.240964,4.240964,24.00,8640,1.4419
