date,avg_power_w,peak_power_w,idle_power_w,energy_kwh,energy_kwh_psys,duration_h,samples,est_cost_gbp
2026-08-04,11.827,41.731,7.964,0.283815,0.000000,24.00,8640,0.0965
2026-08-05,11.839,45.726,7.769,0.284100,0.000000,24.00,8640,0.0966
2026-08-06,11.796,44.910,7.679,0.283070,0.000000,24.00,8640,0.0962
2026-08-07,12.298,45.690,7.747,0.295125,0.000000,24.00,8640,0.1003
2026-08-08,12.293,40.915,7.770,0.295007,0.000000,24.00,8640,0.1003
2026-08-09,15.320,47.877,8.165,0.367666,0.000000,24.00,8640,0.1250
2026-08-10,11.840,43.524,7.915,0.284122,0.000000,24.00,8640,0.0966
2026-08-11,11.786,40.888,8.051,0.282831,0.000000,24.00,8640,0.0962
2026-08-12,11.826,40.453,7.747,0.283797,0.000000,24.00,8640,0.0965
2026-08-13,11.786,40.135,7.873,0.282842,0.000000,24.00,8640,0.0962
2026-08-14,12.277,43.487,7.761,0.294613,0.000000,24.00,8640,0.1002
2026-08-15,12.275,44.308,7.869,0.294562,0.000000,24.00,8640,0.1002
2026-08-16,15.331,46.764,8.087,0.367927,0.000000,24.00,8640,0.1251
2026-08-17,11.844,41.445,7.849,0.284228,0.000000,24.00,8640,0.0966
2026-08-18,11.810,44.013,7.778,0.283410,0.000000,24.00,8640,0.0964
2026-08-19,11.840,42.970,8.069,0.284124,0.000000,24.00,8640,0.0966
2026-08-20,11.817,44.892,7.836,0.283590,0.000000,24.00,8640,0.0964
2026-08-21,12.284,44.495,8.106,0.294795,0.000000,24.00,8640,0.1002
2026-08-22,12.283,43.699,8.004,0.294767,0.000000,24.00,8640,0.1002
2026-08-23,15.329,47.205,7.872,0.367860,0.000000,24.00,8640,0.1251
2026-08-24,11.861,42.453,7.981,0.284632,0.000000,24.00,8640,0.0968
2026-08-25,11.820,44.711,7.755,0.283651,0.000000,24.00,8640,0.0964
2026-08-26,11.806,44.059,7.929,0.283329,0.000000,24.00,8640,0.0963
2026-08-27,11.799,46.188,7.921,0.283144,0.000000,24.00,8640,0.0963
2026-08-28,12.293,43.810,7.994,0.295008,0.000000,24.00,8640,0.1003
2026-08-29,12.300,40.073,7.678,0.295183,0.000000,24.00,8640,0.1004
2026-08-30,15.337,50.200,7.949,0.368072,0.000000,24.00,8640,0.1251
2026-08-31,11.832,45.457,7.797,0.283940,0.000000,24.00,8640,0.0965
2026-09-01,11.807,41.614,7.939,0.283337,0.000000,24.00,8640,0.0963
2026-09-02,11.893,39.306,8.023,0.285409,0.000000,24.00,8640,0.0970
